Brand,Item,Price,Category,Calories,Protein,Fat,Carbs,City,State,Month,Rating,Calories_per_rupees,Protein_per_rupees,Health_score
McDonalds,Double Chocolate Frappe,227.0,Other,477,33,24,30,Hyderabad,Telangana,February,4.0,2.101321585903084,0.14537444933920704,12
McDonalds,Coke Regular,71.0,Beverage,473,22,12,38,Chennai,Tamil Nadu,September,3.8,6.661971830985915,0.30985915492957744,-6
McDonalds,Mcspicy Chicken Burger,159.0,Chicken,635,22,17,54,Chandigarh,Punjab,March,4.3,3.993710691823899,0.13836477987421383,-27
McDonalds,Fanta Large,88.0,Other,212,31,36,65,Gurgaon,Haryana,April,4.4,2.409090909090909,0.3522727272727273,-39
McDonalds,Mcspicy Paneer Burger,159.0,Burger,380,16,18,72,Gurgaon,Haryana,July,3.6,2.389937106918239,0.10062893081761007,-58
McDonalds,Masala Wedges Medium Happy Meal,175.0,Other,532,23,14,71,Chandigarh,Punjab,November,4.3,3.04,0.13142857142857142,-39
McDonalds,Mcspicy Paneer + Mcspicy Chicken + 2 Fries Large + Coke Medium,606.0,Chicken,623,30,5,43,Ahmedabad,Gujarat,November,4.3,1.028052805280528,0.04950495049504951,12
McDonalds,Strawberry Shake,138.0,Other,215,31,25,38,Lucknow,Uttar Pradesh,October,4.0,1.5579710144927537,0.2246376811594203,-1
Burger King,Mutton Whopper Combo - King,388.0,Burger,488,32,29,57,Lucknow,Uttar Pradesh,July,4.4,1.2577319587628866,0.08247422680412371,-22
McDonalds,Big Spicy Paneer Wrap,184.0,Other,387,31,11,52,Kolkata,West Bengal,November,4.0,2.1032608695652173,0.16847826086956522,-1
McDonalds,Mcchicken + Mcveggie + Fries Large + 2 Veg Pizza Mcpuff + Coke Medium,380.0,Fries,294,19,13,63,Lucknow,Uttar Pradesh,February,4.5,0.7736842105263158,0.05,-38
McDonalds,Strawberry Shake,138.0,Other,563,12,14,70,Chennai,Tamil Nadu,March,4.0,4.079710144927536,0.08695652173913043,-60
McDonalds,Fries Large,108.0,Fries,378,6,18,36,Mumbai,Maharashtra,May,4.3,3.5,0.05555555555555555,-42
McDonalds,Chicken Mcnuggets - 6 Pcs,137.0,Chicken,278,19,31,59,Hyderabad,Telangana,September,3.8,2.0291970802919708,0.1386861313868613,-52
KFC,Big Savings Bucket,649.0,Other,408,34,7,70,Noida,Uttar Pradesh,July,4.2,0.6286594761171033,0.05238828967642527,-9
McDonalds,2 Mcspicy Paneer + 2 Veg Pizza Mcpuff + 2 Fries Large + Coke Medium,688.0,Fries,614,7,30,28,Mumbai,Maharashtra,December,3.5,0.8924418604651163,0.010174418604651164,-44
Burger King,Crispy Chicken,75.0,Chicken,584,30,24,41,Kolkata,West Bengal,July,3.7,7.786666666666667,0.4,-5
Burger King,Strawberry Thick Shake,139.0,Other,552,22,16,40,Chennai,Tamil Nadu,March,4.0,3.971223021582734,0.15827338129496402,-12
Burger King,Medium Fries,80.0,Fries,482,31,37,34,Bangalore,Karnataka,March,3.8,6.025,0.3875,-9
Burger King,Veg Double Whopper,199.0,Burger,436,28,20,22,Bhopal,Madhya Pradesh,August,4.8,2.190954773869347,0.1407035175879397,14
KFC,Large Popcorn,220.0,Other,263,12,27,79,Gurgaon,Haryana,September,4.0,1.1954545454545455,0.05454545454545454,-82
Burger King,Chicken Kings Meal Combo For 4,745.0,Chicken,537,19,17,35,Gurgaon,Haryana,January,3.9,0.7208053691275168,0.025503355704697986,-14
McDonalds,Masala Wedges Medium,92.0,Other,581,12,17,76,Jaipur,Rajasthan,October,3.5,6.315217391304348,0.13043478260869565,-69
Burger King,Mutton Whopper Combo - King,388.0,Burger,534,35,12,20,Chandigarh,Punjab,April,4.1,1.3762886597938144,0.09020618556701031,38
McDonalds,Masala Wedges Medium,92.0,Other,434,24,23,28,Ahmedabad,Gujarat,December,4.3,4.717391304347826,0.2608695652173913,-3
McDonalds,Sharing Pack 2 Mckebab Chicken Burger,314.0,Chicken,481,31,31,51,Chennai,Tamil Nadu,November,4.2,1.5318471337579618,0.09872611464968153,-20
Burger King,Bk Grill Chicken,99.0,Chicken,419,28,28,53,Kolkata,West Bengal,September,4.7,4.232323232323233,0.2828282828282828,-25
McDonalds,Big Spicy Paneer Wrap Meal Large,323.0,Other,233,14,11,67,Chennai,Tamil Nadu,December,4.2,0.7213622291021672,0.043343653250773995,-50
McDonalds,Mcsaver American Cheese Supreme - Chicken Meal,244.0,Chicken,465,28,38,62,Chandigarh,Punjab,March,4.6,1.9057377049180328,0.11475409836065574,-44
McDonalds,American Cheese Supreme - Veg Meal Regular,207.0,Other,368,18,22,27,Delhi,Delhi,August,3.6,1.7777777777777777,0.08695652173913043,-13
McDonalds,Mcsaver Veg Maharaja Mac Meal,299.0,Other,239,14,19,41,Delhi,Delhi,November,4.5,0.7993311036789298,0.046822742474916385,-32
McDonalds,Salad Wrap,123.0,Other,445,12,27,24,Bhopal,Madhya Pradesh,May,4.4,3.6178861788617884,0.0975609756097561,-27
Burger King,Chocolate Thick Shake,139.0,Other,252,27,29,55,Kolkata,West Bengal,March,4.6,1.8129496402877698,0.19424460431654678,-30
KFC,Mirinda Can 330Ml,60.0,Other,631,20,20,23,Gurgaon,Haryana,November,4.2,10.516666666666667,0.3333333333333333,-3
McDonalds,Chatpata Naan - Kebab,76.0,Other,240,13,24,34,Delhi,Delhi,November,4.8,3.1578947368421053,0.17105263157894737,-32
Burger King,Who Doesn’T Like 2 Sundaes. Pun Intended.,89.0,Other,645,35,6,76,Mumbai,Maharashtra,October,4.6,7.247191011235955,0.39325842696629215,-12
McDonalds,Mexican Mcalootikki Burger,50.0,Burger,544,5,16,71,Pune,Maharashtra,May,4.3,10.88,0.1,-77
McDonalds,Mccafe-Lemon Ice Tea Regular,138.0,Other,347,26,17,51,Delhi,Delhi,January,4.0,2.5144927536231885,0.18840579710144928,-16
McDonalds,Salad Wrap Meal Large,259.0,Other,282,5,27,72,Noida,Uttar Pradesh,February,4.0,1.0888030888030888,0.019305019305019305,-89
McDonalds,Fries Regular,62.0,Fries,655,27,22,65,Delhi,Delhi,November,4.8,10.564516129032258,0.43548387096774194,-33
Burger King,2 Crispy Chicken Supreme + 2 Grill + 2 Fries M + Spicy Sticks + 4 Pepsi,833.0,Chicken,260,22,8,51,Bhopal,Madhya Pradesh,November,4.4,0.31212484993997597,0.026410564225690276,-15
Burger King,Paneer King’S Melt,129.0,Other,598,21,6,76,Chennai,Tamil Nadu,November,4.4,4.635658914728682,0.16279069767441862,-40
McDonalds,Mcsaver American Cheese Supreme - Chicken Meal,244.0,Chicken,419,17,7,51,Noida,Uttar Pradesh,July,4.5,1.7172131147540983,0.06967213114754098,-24
McDonalds,Big Spicy Chicken Wrap Meal Regular,289.0,Chicken,659,5,19,65,Bangalore,Karnataka,January,3.8,2.2802768166089966,0.01730103806228374,-74
McDonalds,Thums Up Medium,71.0,Other,405,24,33,58,Mumbai,Maharashtra,November,4.1,5.704225352112676,0.3380281690140845,-43
McDonalds,Big Spicy Paneer Wrap Meal Large,323.0,Other,352,31,16,80,Jaipur,Rajasthan,February,3.6,1.089783281733746,0.09597523219814241,-34
McDonalds,Hashbrown,38.0,Other,527,11,23,65,Bhopal,Madhya Pradesh,December,3.5,13.868421052631579,0.2894736842105263,-66
KFC,7Up Can 330Ml,60.0,Other,204,23,5,36,Bangalore,Karnataka,September,3.8,3.4,0.38333333333333336,5
Burger King,Veg Whopper,139.0,Burger,265,34,8,66,Mumbai,Maharashtra,December,4.0,1.9064748201438848,0.2446043165467626,-6
McDonalds,Chocolate Shake,138.0,Other,397,10,23,58,Pune,Maharashtra,July,4.0,2.8768115942028984,0.07246376811594203,-61
KFC,8 Pc Hot & Crispy Chicken,650.0,Chicken,326,20,17,30,Pune,Maharashtra,November,4.7,0.5015384615384615,0.03076923076923077,-7
McDonalds,Mcaloo Tikki Meal Medium,162.0,Other,650,14,8,30,Chennai,Tamil Nadu,December,3.9,4.012345679012346,0.08641975308641975,-10
Burger King,Cold Coffee,99.0,Other,332,31,35,36,Bhopal,Madhya Pradesh,March,3.8,3.3535353535353534,0.31313131313131315,-9
Burger King,Mango Thick Shake,139.0,Other,334,27,9,54,Mumbai,Maharashtra,December,3.7,2.402877697841727,0.19424460431654678,-9
Burger King,Peri Peri Fries,90.0,Fries,284,12,21,59,Bhopal,Madhya Pradesh,July,4.7,3.1555555555555554,0.13333333333333333,-56
McDonalds,Chicken Kebab Burger,76.0,Chicken,651,11,18,64,Chennai,Tamil Nadu,March,3.7,8.56578947368421,0.14473684210526316,-60
McDonalds,Masala Wedges Small Happy Mea,126.0,Other,498,15,29,80,Ahmedabad,Gujarat,July,4.7,3.9523809523809526,0.11904761904761904,-79
McDonalds,Hot Fudge Sundae Regular,38.0,Other,437,26,26,49,Chennai,Tamil Nadu,March,4.7,11.5,0.6842105263157895,-23
McDonalds,Mcsaver Chatpata Naan - Aloo Meal,176.0,Other,534,8,21,31,Jaipur,Rajasthan,January,4.3,3.034090909090909,0.045454545454545456,-36
McDonalds,Chicken Mcnuggets Piri Piri - 9 Pc,193.0,Chicken,671,20,17,61,Chennai,Tamil Nadu,May,4.4,3.476683937823834,0.10362694300518134,-38
Burger King,Strawberry Thick Shake,139.0,Other,570,26,13,27,Indore,Madhya Pradesh,August,3.7,4.100719424460432,0.18705035971223022,12
McDonalds,Mcaloo Tikki Burger,45.0,Burger,239,18,17,39,Lucknow,Uttar Pradesh,November,3.7,5.311111111111111,0.4,-20
Burger King,"U Wont Stop At 1, We Bet.",149.0,Other,595,19,35,54,Bangalore,Karnataka,May,3.7,3.9932885906040267,0.12751677852348994,-51
